text,label,notes
"[Fabrizio Romano] BREAKING: Marco Palestra to Chelsea, here we go! Verbal agreement in place between all parties. Atalanta to receive package over €55m fee plus sell-on clause, long term deal to Italian talented RWB. Chelsea hijack Inter move and get new talent for Xabi Alonso.",news,Classic Romano breaking transfer news — pure fact
"Jude Bellingham covered his mouth while talking to Ghanian player Jordan Ayew during the match, no red card was shown",news,Reports a factual on-pitch event with no opinion added
"Carlos Queiroz: Is VAR still working? There's a penalty they should have given and there also was a clear red card. If VAR hadn't gone for coffee he would have awarded the penalty and we would have won the game. England were lucky.",hot_take,Bold claim with no evidence — emotional assertion dressed as analysis
"Mourinho on Arsenal: There is a silly theory of you can be great without winning. For me it's totally silly. I believe that if Arsenal tried to be a second Man City probably they wouldn't win. So they won. You have to respect the winners.",hot_take,Quote post — content is unsupported bold opinion so label follows content not format
"[L'Equipe] Jürgen Klopp: Football is being held hostage by executives in air-conditioned offices. These so-called cooling breaks were sold to us as a shield for the players well-being but in reality it's nothing more than a gilded cage built for sponsors.",hot_take,Strong pundit opinion with no verifiable evidence — classic hot_take framing
"Loud boos in the match between England and Ghana as the referee blows for the first hydration break",reaction,Captures a crowd emotional moment in real time — no opinion or fact claim
"Cristiano Ronaldo shouts at camera IM BACK after post game",reaction,Pure emotional moment — no argument or factual report
"Khusanov in tears after 5-0 defeat to Portugal",reaction,Emotional response to result — no analysis
"Cape Verde players reactions after securing their first ever World Cup point against Spain",reaction,Documents emotional celebration — no argument
"Marquinhos comforts his international teammate Gabriel after his penalty miss",reaction,Emotional human moment — no discourse content
"Norway players and fans doing Viking Row",reaction,Celebratory cultural moment — no argument or fact claim
"Thierry Henry and Zlatan having a kick about backstage in the studio",reaction,Light-hearted moment — no discourse
"Luka Modrić is hoisted into the air by his Croatia teammates after the match against Panama.",reaction,Celebratory emotional moment post-match
"As requested the full clip of Iraqi and French NT making a mascot's day",reaction,Heartwarming moment — no argument or news value
"A high angle view of the Norway fan Viking row during their match against Senegal",reaction,Crowd celebration — no discourse
"Bruno Fernandes reaction to Cristiano Ronaldo's missed chance",reaction,Emotional in-match reaction — no argument
"Argentina [3] - 0 Algeria - Lionel Messi 76 hat-trick",news,Match result with goalscorer — pure factual report
"[BBC] Following the 1-0 win against DR Congo Colombia confirm a place in the World Cup knockouts for only the fourth time in history",news,Result plus historical milestone — factual with no opinion
"With the loss against Croatia Panama are officially eliminated from the 2026 World Cup.",news,Elimination result — factual
